月份,2016年營收金額,2015年營收金額,年度增(減)比率%
一月,"504,385","541,345",93.2%
二月,,,#DIV/0!
三月,,,#DIV/0!
四月,,,#DIV/0!
五月,,,#DIV/0!
六月,,,#DIV/0!
七月,,,#DIV/0!
八月,,,#DIV/0!
九月,,,#DIV/0!
十月,,,#DIV/0!
十一月,,,#DIV/0!
十二月,,,#DIV/0!
年度累計,504386,541346,93.2%
